1119.12:05:56.011 1119.12:05:56.307 4     10.0.2.1        57392 5     10.0.1.1        5201  6   2  9          653
1119.12:05:56.027 1119.12:05:56.275 5     10.0.1.1        5201  4     10.0.2.1        57392 6   2  8          428
1119.12:05:56.195 1119.12:06:55.899 4     10.0.2.1        57394 5     10.0.1.1        5201  6   2  3122       166625
1119.12:05:56.215 1119.12:06:56.899 5     10.0.1.1        5201  4     10.0.2.1        57394 6   2  5462       8149048
1119.12:06:56.651 1119.12:07:56.755 4     10.0.2.1        57394 5     10.0.1.1        5201  6   0  3073       163264
1119.12:06:57.679 1119.12:07:57.691 5     10.0.1.1        5201  4     10.0.2.1        57394 6   0  5410       8069760
1119.12:07:57.467 1119.12:08:56.703 4     10.0.2.1        57394 5     10.0.1.1        5201  6   1  3031       160536
1119.12:07:58.495 1119.12:08:56.711 5     10.0.1.1        5201  4     10.0.2.1        57394 6   1  5196       7751488
1119.12:08:56.259 1119.12:08:56.743 4     10.0.2.1        57392 5     10.0.1.1        5201  6   1  9          767
1119.12:08:56.267 1119.12:08:56.711 5     10.0.1.1        5201  4     10.0.2.1        57392 6   1  8          714
1119.12:09:56.699 1119.12:09:57.059 4     10.0.2.1        57402 5     10.0.1.1        5201  6   2  9          653
1119.12:09:56.703 1119.12:09:57.039 5     10.0.1.1        5201  4     10.0.2.1        57402 6   2  8          428
1119.12:09:13.847 1119.12:10:14.179 4     10.0.2.2        36780 5     10.0.1.2        3000  6   2  2612       154625
1119.12:09:13.859 1119.12:10:14.191 5     10.0.1.2        3000  4     10.0.2.2        36780 6   2  6944       10391441
1119.12:09:56.867 1119.12:10:57.171 4     10.0.2.1        57404 5     10.0.1.1        5201  6   2  2925       164377
1119.12:09:56.879 1119.12:10:57.187 5     10.0.1.1        5201  4     10.0.2.1        57404 6   2  5384       8071720
1119.12:09:56.903 1119.12:10:57.171 4     10.0.2.1        57406 5     10.0.1.1        5201  6   2  2724       153065
1119.12:09:56.915 1119.12:10:57.187 5     10.0.1.1        5201  4     10.0.2.1        57406 6   2  4989       7479220
1119.12:10:14.211 1119.12:11:14.159 4     10.0.2.2        36780 5     10.0.1.2        3000  6   0  1677       100901
1119.12:10:14.219 1119.12:11:14.111 5     10.0.1.2        3000  4     10.0.2.2        36780 6   0  3012       4506902
1119.12:10:57.215 1119.12:11:58.183 4     10.0.2.1        57404 5     10.0.1.1        5201  6   0  2899       162604
1119.12:10:57.215 1119.12:11:58.183 4     10.0.2.1        57406 5     10.0.1.1        5201  6   0  2949       165292
1119.12:10:57.215 1119.12:11:58.207 5     10.0.1.1        5201  4     10.0.2.1        57404 6   0  5508       8262000
1119.12:10:57.215 1119.12:11:58.191 5     10.0.1.1        5201  4     10.0.2.1        57406 6   0  5614       8421000
1119.12:11:15.655 1119.12:12:16.183 4     10.0.2.2        36780 5     10.0.1.2        3000  6   0  1521       91734
1119.12:11:15.663 1119.12:12:16.183 5     10.0.1.2        3000  4     10.0.2.2        36780 6   0  2553       3820573
